日,フェーズ,新規(50語),復習,確認テスト
1,INPUT,1–50,—,確認① 1–50
2,INPUT,51–100,1–50,確認① 51–100　確認② 1–50
3,INPUT,101–150,51–100,確認① 101–150　確認② 51–100
4,INPUT,151–200,101–150・1–50,確認① 151–200　確認② 101–150・1–50
5,INPUT,201–250,151–200・51–100,確認① 201–250　確認② 151–200・51–100
6,INPUT,251–300,201–250・101–150,確認① 251–300　確認② 201–250・101–150
7,INPUT,301–350,251–300・151–200,確認① 301–350　確認② 251–300・151–200
8,INPUT,351–400,301–350・201–250・1–50,確認① 351–400　確認② 301–350・201–250・1–50
9,INPUT,401–450,351–400・251–300・51–100,確認① 401–450　確認② 351–400・251–300・51–100
10,INPUT,451–500,401–450・301–350・101–150,確認① 451–500　確認② 401–450・301–350・101–150
11,INPUT,501–550,451–500・351–400・151–200,確認① 501–550　確認② 451–500・351–400・151–200
12,INPUT,551–600,501–550・401–450・201–250,確認① 551–600　確認② 501–550・401–450・201–250
13,INPUT,601–650,551–600・451–500・251–300,確認① 601–650　確認② 551–600・451–500・251–300
14,INPUT,651–700,601–650・501–550・301–350,確認① 651–700　確認② 601–650・501–550・301–350
15,INPUT,701–750,651–700・551–600・351–400,確認① 701–750　確認② 651–700・551–600・351–400
16,INPUT,751–800,701–750・601–650・401–450,確認① 751–800　確認② 701–750・601–650・401–450
17,INPUT,801–850,751–800・651–700・451–500,確認① 801–850　確認② 751–800・651–700・451–500
18,INPUT,851–900,801–850・701–750・501–550,確認① 851–900　確認② 801–850・701–750・501–550
19,INPUT,901–950,851–900・751–800・551–600,確認① 901–950　確認② 851–900・751–800・551–600
20,INPUT,951–1000,901–950・801–850・601–650,確認① 951–1000　確認② 901–950・801–850・601–650
21,REVIEW,—（総復習）,1–50・51–100,シャッフル 1–50／51–100
22,REVIEW,—（総復習）,101–150・151–200,シャッフル 101–150／151–200
23,REVIEW,—（総復習）,201–250・251–300,シャッフル 201–250／251–300
24,REVIEW,—（総復習）,301–350・351–400,シャッフル 301–350／351–400
25,REVIEW,—（総復習）,401–450・451–500,シャッフル 401–450／451–500
26,REVIEW,—（総復習）,501–550・551–600,シャッフル 501–550／551–600
27,REVIEW,—（総復習）,601–650・651–700,シャッフル 601–650／651–700
28,REVIEW,—（総復習）,701–750・751–800,シャッフル 701–750／751–800
29,REVIEW,—（総復習）,801–850・851–900,シャッフル 801–850／851–900
30,REVIEW,—（仕上げ）,全1000語,総合テスト（全範囲・50問×複数）
